detected_id,start_idx,end_idx,timestamp,end_timestamp,detected_duration_s,baseline_bar
32,115741,115757,2025-01-03 16:18:02,2025-01-03 16:18:34,32,3.9997923957051107
33,118321,118339,2025-01-03 17:44:02,2025-01-03 17:44:38,36,3.9997923957051107
34,118501,118517,2025-01-03 17:50:02,2025-01-03 17:50:34,32,3.9997923957051107
35,118681,118699,2025-01-03 17:56:02,2025-01-03 17:56:38,36,3.9997923957051107
36,119401,119417,2025-01-03 18:20:02,2025-01-03 18:20:34,32,3.9997923957051107
37,126121,126139,2025-01-03 22:04:02,2025-01-03 22:04:38,36,3.9997923957051107
38,133741,133757,2025-01-04 02:18:02,2025-01-04 02:18:34,32,3.9997923957051107
39,136441,136459,2025-01-04 03:48:02,2025-01-04 03:48:38,36,3.9997923957051107
40,139261,139277,2025-01-04 05:22:02,2025-01-04 05:22:34,32,3.9997923957051107
41,143041,143058,2025-01-04 07:28:02,2025-01-04 07:28:36,34,3.9997923957051107
42,148321,148337,2025-01-04 10:24:02,2025-01-04 10:24:34,32,3.9997923957051107
43,153661,153679,2025-01-04 13:22:02,2025-01-04 13:22:38,36,3.9997923957051107
44,156661,156677,2025-01-04 15:02:02,2025-01-04 15:02:34,32,3.9997923957051107
45,158161,158179,2025-01-04 15:52:02,2025-01-04 15:52:38,36,3.9997923957051107
46,159721,159737,2025-01-04 16:44:02,2025-01-04 16:44:34,32,3.9997923957051107
47,165361,165379,2025-01-04 19:52:02,2025-01-04 19:52:38,36,3.9997923957051107
48,169801,169817,2025-01-04 22:20:02,2025-01-04 22:20:34,32,3.9997923957051107
49,173101,173119,2025-01-05 00:10:02,2025-01-05 00:10:38,36,3.9997923957051107
50,178681,178697,2025-01-05 03:16:02,2025-01-05 03:16:34,32,3.9997923957051107
51,181261,181279,2025-01-05 04:42:02,2025-01-05 04:42:38,36,3.9997923957051107
52,184681,184697,2025-01-05 06:36:02,2025-01-05 06:36:34,32,3.9997923957051107
53,193021,193039,2025-01-05 11:14:02,2025-01-05 11:14:38,36,3.9997923957051107
54,196801,196817,2025-01-05 13:20:02,2025-01-05 13:20:34,32,3.9997923957051107
55,201301,201319,2025-01-05 15:50:02,2025-01-05 15:50:38,36,3.9997923957051107
56,203101,203117,2025-01-05 16:50:02,2025-01-05 16:50:34,32,3.9997923957051107
57,206221,206239,2025-01-05 18:34:02,2025-01-05 18:34:38,36,3.9997923957051107
58,206461,206477,2025-01-05 18:42:02,2025-01-05 18:42:34,32,3.9997923957051107
59,206821,206839,2025-01-05 18:54:02,2025-01-05 18:54:38,36,3.9997923957051107
60,207061,207077,2025-01-05 19:02:02,2025-01-05 19:02:34,32,3.9997923957051107
61,208141,208159,2025-01-05 19:38:02,2025-01-05 19:38:38,36,3.9997923957051107
62,215881,215897,2025-01-05 23:56:02,2025-01-05 23:56:34,32,3.9997923957051107
63,219841,219859,2025-01-06 02:08:02,2025-01-06 02:08:38,36,3.9997923957051107
64,229081,229097,2025-01-06 07:16:02,2025-01-06 07:16:34,32,3.9997923957051107
65,239761,239779,2025-01-06 13:12:02,2025-01-06 13:12:38,36,3.9997923957051107
66,240061,240077,2025-01-06 13:22:02,2025-01-06 13:22:34,32,3.9997923957051107
67,240241,240259,2025-01-06 13:28:02,2025-01-06 13:28:38,36,3.9997923957051107
68,240541,240557,2025-01-06 13:38:02,2025-01-06 13:38:34,32,3.9997923957051107
69,243181,243199,2025-01-06 15:06:02,2025-01-06 15:06:38,36,3.9997923957051107
70,248641,248657,2025-01-06 18:08:02,2025-01-06 18:08:34,32,3.9997923957051107
71,250261,250279,2025-01-06 19:02:02,2025-01-06 19:02:38,36,3.9997923957051107
72,260641,260657,2025-01-07 00:48:02,2025-01-07 00:48:34,32,3.9997923957051107
73,261661,261679,2025-01-07 01:22:02,2025-01-07 01:22:38,36,3.9997923957051107
74,264601,264617,2025-01-07 03:00:02,2025-01-07 03:00:34,32,3.9997923957051107
75,269101,269119,2025-01-07 05:30:02,2025-01-07 05:30:38,36,3.9997923957051107
76,271201,271217,2025-01-07 06:40:02,2025-01-07 06:40:34,32,3.9997923957051107
77,271741,271759,2025-01-07 06:58:02,2025-01-07 06:58:38,36,3.9997923957051107
78,277801,277817,2025-01-07 10:20:02,2025-01-07 10:20:34,32,3.9997923957051107
79,280921,280939,2025-01-07 12:04:02,2025-01-07 12:04:38,36,3.9997923957051107
80,283141,283157,2025-01-07 13:18:02,2025-01-07 13:18:34,32,3.9997923957051107
81,287581,287599,2025-01-07 15:46:02,2025-01-07 15:46:38,36,3.9997923957051107
82,292981,292997,2025-01-07 18:46:02,2025-01-07 18:46:34,32,3.9997923957051107
83,294061,294079,2025-01-07 19:22:02,2025-01-07 19:22:38,36,3.9997923957051107
84,295261,295277,2025-01-07 20:02:02,2025-01-07 20:02:34,32,3.9997923957051107
85,295621,295639,2025-01-07 20:14:02,2025-01-07 20:14:38,36,3.9997923957051107
86,298381,298397,2025-01-07 21:46:02,2025-01-07 21:46:34,32,3.9997923957051107
87,302221,302239,2025-01-07 23:54:02,2025-01-07 23:54:38,36,3.9997923957051107
88,308881,308897,2025-01-08 03:36:02,2025-01-08 03:36:34,32,3.9997923957051107
89,309241,309259,2025-01-08 03:48:02,2025-01-08 03:48:38,36,3.9997923957051107
90,309541,309557,2025-01-08 03:58:02,2025-01-08 03:58:34,32,3.9997923957051107
91,312661,312679,2025-01-08 05:42:02,2025-01-08 05:42:38,36,3.9997923957051107
92,315361,315377,2025-01-08 07:12:02,2025-01-08 07:12:34,32,3.9997923957051107
93,318781,318799,2025-01-08 09:06:02,2025-01-08 09:06:38,36,3.9997923957051107
94,321541,321557,2025-01-08 10:38:02,2025-01-08 10:38:34,32,3.9997923957051107
95,323581,323599,2025-01-08 11:46:02,2025-01-08 11:46:38,36,3.9997923957051107
96,323641,323657,2025-01-08 11:48:02,2025-01-08 11:48:34,32,3.9997923957051107
97,323701,323719,2025-01-08 11:50:02,2025-01-08 11:50:38,36,3.9997923957051107
98,331921,331937,2025-01-08 16:24:02,2025-01-08 16:24:34,32,3.9997923957051107
99,332161,332179,2025-01-08 16:32:02,2025-01-08 16:32:38,36,3.9997923957051107
100,340621,340637,2025-01-08 21:14:02,2025-01-08 21:14:34,32,3.9997923957051107
101,342361,342379,2025-01-08 22:12:02,2025-01-08 22:12:38,36,3.9997923957051107
102,349021,349037,2025-01-09 01:54:02,2025-01-09 01:54:34,32,3.9997923957051107
103,356761,356779,2025-01-09 06:12:02,2025-01-09 06:12:38,36,3.9997923957051107
104,356821,356837,2025-01-09 06:14:02,2025-01-09 06:14:34,32,3.9997923957051107
105,356881,356899,2025-01-09 06:16:02,2025-01-09 06:16:38,36,3.9997923957051107
106,357301,357317,2025-01-09 06:30:02,2025-01-09 06:30:34,32,3.9997923957051107
107,364921,364938,2025-01-09 10:44:02,2025-01-09 10:44:36,34,3.9997923957051107
108,376321,376337,2025-01-09 17:04:02,2025-01-09 17:04:34,32,3.9997923957051107
109,377341,377359,2025-01-09 17:38:02,2025-01-09 17:38:38,36,3.9997923957051107
110,378121,378137,2025-01-09 18:04:02,2025-01-09 18:04:34,32,3.9997923957051107
111,378901,378919,2025-01-09 18:30:02,2025-01-09 18:30:38,36,3.9997923957051107
112,379441,379457,2025-01-09 18:48:02,2025-01-09 18:48:34,32,3.9997923957051107
113,386941,386959,2025-01-09 22:58:02,2025-01-09 22:58:38,36,3.9997923957051107
114,389581,389597,2025-01-10 00:26:02,2025-01-10 00:26:34,32,3.9997923957051107
115,394801,394819,2025-01-10 03:20:02,2025-01-10 03:20:38,36,3.9997923957051107
116,396301,396317,2025-01-10 04:10:02,2025-01-10 04:10:34,32,3.9997923957051107
117,402061,402079,2025-01-10 07:22:02,2025-01-10 07:22:38,36,3.9997923957051107
118,407341,407357,2025-01-10 10:18:02,2025-01-10 10:18:34,32,3.9997923957051107
119,408481,408499,2025-01-10 10:56:02,2025-01-10 10:56:38,36,3.9997923957051107
120,409861,409877,2025-01-10 11:42:02,2025-01-10 11:42:34,32,3.9997923957051107
121,414001,414019,2025-01-10 14:00:02,2025-01-10 14:00:38,36,3.9997923957051107
122,415801,415817,2025-01-10 15:00:02,2025-01-10 15:00:34,32,3.9997923957051107
123,417241,417258,2025-01-10 15:48:02,2025-01-10 15:48:36,34,3.9997923957051107
124,419581,419597,2025-01-10 17:06:02,2025-01-10 17:06:34,32,3.9997923957051107
125,421201,421219,2025-01-10 18:00:02,2025-01-10 18:00:38,36,3.9997923957051107
126,425281,425297,2025-01-10 20:16:02,2025-01-10 20:16:34,32,3.9997923957051107
127,436381,436398,2025-01-11 02:26:02,2025-01-11 02:26:36,34,3.9997923957051107
128,438121,438137,2025-01-11 03:24:02,2025-01-11 03:24:34,32,3.9997923957051107
129,439261,439278,2025-01-11 04:02:02,2025-01-11 04:02:36,34,3.9997923957051107
130,439441,439457,2025-01-11 04:08:02,2025-01-11 04:08:34,32,3.9997923957051107
131,444842,444860,2025-01-11 07:08:04,2025-01-11 07:08:40,36,3.9997923957051107
132,446941,446957,2025-01-11 08:18:02,2025-01-11 08:18:34,32,3.9997923957051107
133,451201,451219,2025-01-11 10:40:02,2025-01-11 10:40:38,36,3.9997923957051107
134,456961,456977,2025-01-11 13:52:02,2025-01-11 13:52:34,32,3.9997923957051107
135,457022,457039,2025-01-11 13:54:04,2025-01-11 13:54:38,34,3.9997923957051107
136,458401,458418,2025-01-11 14:40:02,2025-01-11 14:40:36,34,3.9997923957051107
137,460741,460759,2025-01-11 15:58:02,2025-01-11 15:58:38,36,3.9997923957051107
138,465841,465857,2025-01-11 18:48:02,2025-01-11 18:48:34,32,3.9997923957051107
139,471661,471679,2025-01-11 22:02:02,2025-01-11 22:02:38,36,3.9997923957051107
140,474481,474497,2025-01-11 23:36:02,2025-01-11 23:36:34,32,3.9997923957051107
141,482042,482059,2025-01-12 03:48:04,2025-01-12 03:48:38,34,3.9997923957051107
142,486601,486617,2025-01-12 06:20:02,2025-01-12 06:20:34,32,3.9997923957051107
143,489421,489439,2025-01-12 07:54:02,2025-01-12 07:54:38,36,3.9997923957051107
144,493921,493938,2025-01-12 10:24:02,2025-01-12 10:24:36,34,3.9997923957051107
145,495422,495439,2025-01-12 11:14:04,2025-01-12 11:14:38,34,3.9997923957051107
146,495961,495977,2025-01-12 11:32:02,2025-01-12 11:32:34,32,3.9997923957051107
147,497641,497662,2025-01-12 12:28:02,2025-01-12 12:28:44,42,3.9997923957051107
148,498361,498378,2025-01-12 12:52:02,2025-01-12 12:52:36,34,3.9997923957051107
149,498661,498679,2025-01-12 13:02:02,2025-01-12 13:02:38,36,3.9997923957051107
150,499561,499577,2025-01-12 13:32:02,2025-01-12 13:32:34,32,3.9997923957051107
151,509762,509780,2025-01-12 19:12:04,2025-01-12 19:12:40,36,3.9997923957051107
152,511861,511877,2025-01-12 20:22:02,2025-01-12 20:22:34,32,3.9997923957051107
153,515041,515058,2025-01-12 22:08:02,2025-01-12 22:08:36,34,3.9997923957051107
154,516121,516137,2025-01-12 22:44:02,2025-01-12 22:44:34,32,3.9997923957051107
155,523021,523040,2025-01-13 02:34:02,2025-01-13 02:34:40,38,3.9997923957051107
156,523441,523457,2025-01-13 02:48:02,2025-01-13 02:48:34,32,3.9997923957051107
157,528778,528799,2025-01-13 05:45:56,2025-01-13 05:46:38,42,3.9997923957051107
158,530341,530360,2025-01-13 06:38:02,2025-01-13 06:38:40,38,3.9997923957051107
159,532141,532159,2025-01-13 07:38:02,2025-01-13 07:38:38,36,3.9997923957051107
160,544861,544877,2025-01-13 14:42:02,2025-01-13 14:42:34,32,3.9997923957051107
161,546482,546499,2025-01-13 15:36:04,2025-01-13 15:36:38,34,3.9997923957051107
162,546901,546917,2025-01-13 15:50:02,2025-01-13 15:50:34,32,3.9997923957051107
163,549482,549498,2025-01-13 17:16:04,2025-01-13 17:16:36,32,3.9997923957051107
164,549541,549558,2025-01-13 17:18:02,2025-01-13 17:18:36,34,3.9997923957051107
165,551341,551359,2025-01-13 18:18:02,2025-01-13 18:18:38,36,3.9997923957051107
166,557881,557897,2025-01-13 21:56:02,2025-01-13 21:56:34,32,3.9997923957051107
167,558601,558619,2025-01-13 22:20:02,2025-01-13 22:20:38,36,3.9997923957051107
168,560521,560537,2025-01-13 23:24:02,2025-01-13 23:24:34,32,3.9997923957051107
169,569397,569425,2025-01-14 04:19:54,2025-01-14 04:20:50,56,3.9997923957051107
170,572581,572597,2025-01-14 06:06:02,2025-01-14 06:06:34,32,3.9997923957051107
171,574021,574039,2025-01-14 06:54:02,2025-01-14 06:54:38,36,3.9997923957051107
172,583681,583697,2025-01-14 12:16:02,2025-01-14 12:16:34,32,3.9997923957051107
173,588241,588258,2025-01-14 14:48:02,2025-01-14 14:48:36,34,3.9997923957051107
174,588661,588677,2025-01-14 15:02:02,2025-01-14 15:02:34,32,3.9997923957051107
175,600480,600498,2025-01-14 21:36:00,2025-01-14 21:36:36,36,3.9997923957051107
176,601981,601997,2025-01-14 22:26:02,2025-01-14 22:26:34,32,3.9997923957051107
177,602222,602242,2025-01-14 22:34:04,2025-01-14 22:34:44,40,3.9997923957051107
178,604261,604277,2025-01-14 23:42:02,2025-01-14 23:42:34,32,3.9997923957051107
